NCIt Code	SwissProt ID	NCIt Preferred Name
C84303	P16157	Ankyrin-1
C114997	Q01484	Ankyrin-2
C105378	P07355	Annexin A2
C21333	P08758	Annexin A5
C118336	P08133	Annexin A6
C20941	P13928	Annexin A8
C124957	Q5VT79	Annexin A8-Like Protein 1
C115175	Q5XXA6	Anoctamin-1
C75621	P23352	Anosmin-1
C21482	O95994	Anterior Gradient Protein 2 Homolog
C131367	Q8TD06	Anterior Gradient Protein 3 Homolog
C104095	Q9H6X2	Anthrax Toxin Receptor 1
C17675	P46013	Antigen KI-67
C21574	Q03518	Antigen Peptide Transporter 1
C21579	Q03519	Antigen Peptide Transporter 2
C106495	P15813	Antigen-Presenting Glycoprotein CD1d
C29979	P03973	Antileukoproteinase
C21334	Q16671	Anti-Muellerian Hormone Type-2 Receptor
C147927	Q16671	Anti-Muellerian Hormone Type-2 Receptor Extracellular Domain
C104683	P01008	Antithrombin-III
C152051	P63010	AP-2 Complex Subunit Beta
C68721	Q5JTC6	APC Membrane Recruitment Protein 1
C104098	Q9ULZ1	Apelin
C138159	P35414	Apelin Receptor
C137986	P0DMC3	Apelin Receptor Early Endogenous Ligand
C143033	Q9NQ94	APOBEC1 Complementation Factor
C116419	P02647	Apolipoprotein A-I
C116605	P06727	Apolipoprotein A-IV
C106032	P04114	Apolipoprotein B-100
C138110	P02654	Apolipoprotein C-I
C117099	P02656	Apolipoprotein C-III
C84470	P02649	Apolipoprotein E
C105364	P02649	Apolipoprotein E4
C138153	O14791	Apolipoprotein L1
C140118	P08519	Apolipoprotein(a)
C17699	Q07812	Apoptosis Regulator BAX
C18115	P10415	Apoptosis Regulator Bcl-2
C93109	Q9ULZ3	Apoptosis-Associated Speck-Like Protein Containing A CARD
C95033	Q96KQ4	Apoptosis-Stimulating of p53 Protein 1
C17912	Q13625	Apoptosis-Stimulating of p53 Protein 2
C20930	O14727	Apoptotic Protease-Activating Factor 1
C104429	Q9UBU3	Appetite-Regulating Hormone
C96339	O75342	Arachidonate 12-Lipoxygenase, 12R-Type
C103926	P18054	Arachidonate 12-Lipoxygenase, 12S-Type
C21336	P16050	Arachidonate 15-Lipoxygenase
C114805	O15296	Arachidonate 15-Lipoxygenase B
C68729	P09917	Arachidonate 5-Lipoxygenase
C26184	Q9Y2X7	ARF GTPase-Activating Protein GIT1
C26186	Q14161	ARF GTPase-Activating Protein GIT2
C114683	P53367	Arfaptin-1
C118599	Q9ULH1	Arf-GAP with SH3 Domain, Ankyrin Repeat and PH Domain-Containing 1
C103929	P05089	Arginase-1
C2285	P01185	Arginine-Vasopressin
C118542	P00966	Argininosuccinate Synthase
C101342	O00192	Armadillo Repeat Protein Deleted In Velo-Cardio-Facial Syndrome
C128876	P20711	Aromatic-L-Amino-Acid Decarboxylase
C117152	Q96B67	Arrestin Domain-Containing Protein 3
C113260	Q5T4W7	Artemin
C17273	P35869	Aryl Hydrocarbon Receptor
C28553	P27540	Aryl Hydrocarbon Receptor Nuclear Translocator
C28715	Q9HBZ2	Aryl Hydrocarbon Receptor Nuclear Translocator 2
C119694	O00327	Aryl Hydrocarbon Receptor Nuclear Translocator-Like Protein 1
C119697	Q8WYA1	Aryl Hydrocarbon Receptor Nuclear Translocator-Like Protein 2
C129845	P18440	Arylamine N-Acetyltransferase 1
C17773	P11245	Arylamine N-Acetyltransferase 2
C103932	P15289	Arylsulfatase A
C38500	P17174	Aspartate Aminotransferase, Cytoplasmic
C38502	P00505	Aspartate Aminotransferase, Mitochondrial
C79790	Q15121	Astrocytic Phosphoprotein PEA-15
C82896	O75129	Astrotactin-2
C129917	P54253	Ataxin-1
C124928	Q99700	Ataxin-2
C101292	O43313	ATM Interactor
C118527	P06576	ATP Synthase Subunit Beta, Mitochondrial
C105837	P56381	ATP Synthase Subunit Epsilon, Mitochondrial
C114948	Q96QE3	ATPase Family AAA Domain-Containing Protein 5
C106311	Q96S55	ATPase WRNIP1
C116410	O95477	ATP-Binding Cassette Sub-Family A Member 1
C89025	Q9BZC7	ATP-Binding Cassette Sub-Family A Member 2
C103878	Q8WWZ7	ATP-Binding Cassette Sub-Family A Member 5
C73557	Q2M3G0	ATP-Binding Cassette Sub-Family B Member 5
C21299	Q9NP58	ATP-Binding Cassette Sub-Family B Member 6, Mitochondrial
C142195	P33897	ATP-Binding Cassette Sub-Family D Member 1
C113329	Q9UG63	ATP-Binding Cassette Sub-Family F Member 2
C113601	P45844	ATP-Binding Cassette Sub-Family G Member 1
C21253	Q9UNQ0	ATP-Binding Cassette Sub-Family G Member 2
C107109	P53396	ATP-Citrate Synthase
C137967	Q9H611	ATP-Dependent DNA Helicase PIF1
C17914	P46063	ATP-Dependent DNA Helicase Q1
C20318	O94761	ATP-Dependent DNA Helicase Q4
C20596	O94762	ATP-Dependent DNA Helicase Q5
C26212	Q92499	ATP-Dependent RNA Helicase DDX1
C101567	O00571	ATP-Dependent RNA Helicase DDX3X
C139911	P01160	Atrial Natriuretic Factor
C112515	P16066	Atrial Natriuretic Peptide Receptor 1
C33978	P20594	Atrial Natriuretic Peptide Receptor 2
C92532	Q9HBJ5	AT-Rich Interactive Domain-Containing Protein 1A
C102522	Q8NFD5	AT-Rich Interactive Domain-Containing Protein 1B
C101090	Q68CP9	AT-Rich Interactive Domain-Containing Protein 2
C21531	Q4LE39	AT-Rich Interactive Domain-Containing Protein 4B
C84419	Q14865	AT-Rich Interactive Domain-Containing Protein 5B
C106415	Q8WXE1	ATR-Interacting Protein
C116674	O75882	Attractin
C78153	Q16570	Atypical Chemokine Receptor 1
C25781	O00590	Atypical Chemokine Receptor 2
C91371	P25106	Atypical Chemokine Receptor 3
C25788	Q9NPB9	Atypical Chemokine Receptor 4
C30006	O14965	Aurora Kinase A
C68596	Q96GD4	Aurora Kinase B
C95267	Q9UQB9	Aurora Kinase C
C114321	O43918	Autoimmune Regulator
C104964	Q9H1Y0	Autophagy Protein 5
C126137	O75143	Autophagy-Related Protein 13
C119725	Q676U5	Autophagy-Related Protein 16-1
C18177	O15169	Axin-1
C21488	Q9Y2T1	Axin-2
C17278	P20160	Azurocidin
C82851	Q7Z6A9	B- and T-Lymphocyte Attenuator
C104494	Q13072	B Melanoma Antigen 1
C94693	P82251	B(0,+)-Type Amino Acid Transporter 1
C26101	P30411	B2 Bradykinin Receptor
C113281	Q9BPU9	B9 Domain-Containing Protein 2
C106602	P17213	Bactericidal Permeability-Increasing Protein
C20928	Q13075	Baculoviral IAP Repeat-Containing Protein 1
C20931	Q13489	Baculoviral IAP Repeat-Containing Protein 2
C20946	Q13489	Baculoviral IAP Repeat-Containing Protein 3
C20947	P98170	Baculoviral IAP Repeat-Containing Protein 4
C18179	O15392	Baculoviral IAP Repeat-Containing Protein 5
C28697	Q9NR09	Baculoviral IAP Repeat-Containing Protein 6
C20951	Q96CA5	Baculoviral IAP Repeat-Containing Protein 7
C20953	Q99933	BAG Family Molecular Chaperone Regulator 1
C105996	O95817	BAG Family Molecular Chaperone Regulator 3
C26141	O95429	BAG Family Molecular Chaperone Regulator 4
C26144	Q9UL15	BAG Family Molecular Chaperone Regulator 5
C105066	P02730	Band 3 Anion Transport Protein
C140244	Q8WZ55	Barttin
C95448	P98160	Basement Membrane-Specific Heparan Sulfate Proteoglycan Core Protein
C134708	Q68DE3	Basic Helix-Loop-Helix Domain-Containing Protein USF3
C95070	P35613	Basigin
C97423	P11912	B-Cell Antigen Receptor Complex-Associated Protein Alpha Chain
C97426	P40259	B-Cell Antigen Receptor Complex-Associated Protein Beta Chain
C28706	Q4VC05	B-Cell CLL/Lymphoma 7 Protein Family Member A
C28707	O00512	B-Cell CLL/Lymphoma 9 Protein
C132330	Q86UU0	B-Cell CLL/Lymphoma 9-Like Protein
C17404	P21854	B-Cell Differentiation Antigen CD72
C26636	Q8WV28	B-Cell Linker Protein
C26149	P41182	B-Cell Lymphoma 6 Protein
C18167	P20749	B-Cell Lymphoma Protein 3
C26153	Q8TDM0	B-Cell Lymphoma/Leukemia 10
C97396	Q9H165	B-Cell Lymphoma/Leukemia 11A
C91857	Q9C0K0	B-Cell Lymphoma/Leukemia 11B
C17279	P20273	B-Cell Receptor CD22
C21191	Q92934	Bcl2 Antagonist of Cell Death
C21192	Q16611	Bcl-2 Homologous Antagonist/Killer
C120110	Q12983	BCL2/Adenovirus E1B 19 kDa Protein-Interacting Protein 3
C21374	O60238	BCL2/Adenovirus E1B 19 kDa Protein-Interacting Protein 3-Like
C115996	Q9NYF8	Bcl-2-Associated Transcription Factor 1
C91774	Q9BXH1	Bcl-2-Binding Component 3
C21203	Q13323	Bcl-2-Interacting Killer
C17698	Q07817	Bcl-2-Like Protein 1
C117140	Q9HD36	Bcl-2-Like Protein 10
C21195	O43521	Bcl-2-Like Protein 11
C114745	Q9HB09	Bcl-2-Like Protein 12
C21197	Q92843	Bcl-2-Like Protein 2
C104160	Q96LC9	Bcl-2-Modifying Factor
C126579	Q9UMX3	Bcl-2-Related Ovarian Killer Protein
C104040	Q16548	BCL2-Related Protein A1
C101093	Q6W2J9	BCL-6 Corepressor
C131270	Q5H9F3	BCL-6 Corepressor-Like Protein 1
C20415	Q07817	Bcl-X(S)
C33983	Q16620	BDNF/NT-3 Growth Factors Receptor
C94671	Q14457	Beclin-1
C131205	A8MW95	Beclin-2
C116425	Q9HAY6	Beta,Beta-Carotene 15,15'-Dioxygenase
C21390	Q9Y4K1	Beta/Gamma Crystallin Domain-Containing Protein 1
C40096	P08588	Beta-1 Adrenergic Receptor
C126570	O95395	Beta-1,3-Galactosyl-O-Glycosyl-Glycoprotein Beta-1,6-N-Acetylglucosaminyltransferase 3
C28499	O00587	Beta-1,3-N-Acetylglucosaminyltransferase Manic Fringe
C128484	Q00973	Beta-1,4 N-Acetylgalactosaminyltransferase 1
C104853	P15291	Beta-1,4-Galactosyltransferase 1
C103939	Q9UBX8	Beta-1,4-Galactosyltransferase 6
C21297	P07550	Beta-2 Adrenergic Receptor
C142155	P02749	Beta-2-Glycoprotein 1
C62657	Q540F8	Beta-2-Microglobulin
C126973	P13945	Beta-3 Adrenergic Receptor
C21382	P25098	Beta-Adrenergic Receptor Kinase 1
C21384	P35626	Beta-Adrenergic Receptor Kinase 2
C26076	P49407	Beta-Arrestin-1
C129047	P32121	Beta-Arrestin-2
C20432	P35070	Betacellulin
C113551	P52757	Beta-Chimaerin
C26216	P60022	Beta-Defensin 1
C91757	P81534	Beta-Defensin 103
C107438	P16278	Beta-Galactosidase
C148006	P08236	Beta-Glucuronidase
C104872	Q93088	Betaine-Homocysteine S-Methyltransferase 1
C119645	Q86Z14	Beta-Klotho
C21161	P08118	Beta-Microseminoprotein
C20444	P01138	Beta-Nerve Growth Factor
C112895	P56817	Beta-Secretase 1
C112892	Q9Y5Z0	Beta-Secretase 2
C20468	P02775	Beta-Thromboglobulin
C21199	P55957	BH3-Interacting Domain Death Agonist
C104945	P13995	Bifunctional Methylenetetrahydrofolate Dehydrogenase/Cyclohydrolase, Mitochondrial
C97402	P31939	Bifunctional Purine Biosynthesis Protein PURH
C105840	P21810	Biglycan
C114912	Q96RI1	Bile Acid Receptor
C123861	O95342	Bile Salt Export Pump
C152039	P53004	Biliverdin Reductase A
C120371	P01241	Bio-Inactive Somatotropin
C150178	Q8NFC6	Biorientation of Chromosomes in Cell Division Protein 1-Like 1
C18025	P49789	Bis(5'-Adenosyl)-Triphosphatase
C17980	P54132	Bloom Syndrome Protein
C38894	P15391	B-Lymphocyte Antigen CD19
C38896	P11836	B-Lymphocyte Antigen CD20
C33973	Q13145	BMP and Activin Membrane-Bound Inhibitor Homolog
C21015	O60477	BMP/Retinoic Acid-Inducible Neural-Specific Protein 1
C142377	Q76B58	BMP/Retinoic Acid-Inducible Neural-Specific Protein 3
C20955	P32247	Bombesin Receptor Subtype-3
C21346	O95393	Bone Morphogenetic Protein 10
C21348	O95972	Bone Morphogenetic Protein 15
C21350	P12643	Bone Morphogenetic Protein 2
C21352	P12645	Bone Morphogenetic Protein 3
C26293	P55107	Bone Morphogenetic Protein 3B
C95043	P12644	Bone Morphogenetic Protein 4
C21354	P22003	Bone Morphogenetic Protein 5
C21356	P22004	Bone Morphogenetic Protein 6
C21358	P18075	Bone Morphogenetic Protein 7
C21360	P34820	Bone Morphogenetic Protein 8B
C21367	P36894	Bone Morphogenetic Protein Receptor Type-1A
C73561	O00238	Bone Morphogenetic Protein Receptor Type-1B
C21369	Q13873	Bone Morphogenetic Protein Receptor Type-2
C126508	Q53HL2	Borealin
C118518	Q9NP55	BPI Fold-Containing Family A Member 1
C84458	O15178	Brachyury Protein
C316	P01042	Bradykinin
C113640	P80723	Brain Acid Soluble Protein 1
C103993	Q8WXS3	Brain and Acute Leukemia Cytoplasmic Protein
C88523	P16860	Brain Natriuretic Peptide 32
C20445	P23560	Brain-Derived Neurotrophic Factor
C26145	O14514	Brain-Specific Angiogenesis Inhibitor 1
C26634	Q9UQB8	Brain-Specific Angiogenesis Inhibitor 1-Associated Protein 2
C106366	Q9UHR4	Brain-Specific Angiogenesis Inhibitor 1-Associated Protein 2-Like Protein 1
C137956	P54687	Branched-Chain-Amino-Acid Aminotransferase, Cytosolic
C101799	Q6UWZ7	BRCA1-A Complex Subunit Abraxas 1
C124100	Q96RL1	BRCA1-A Complex Subunit RAP80
